# ============================================================
# Datum Adjustment Archive — LMR_QAQC System
# Source PDF  : Mississippi River at Empire Locks Gage Datasheet.pdf
# USACE Code  : 01440
# Generated   : 2026-04-23T01:45:10 UTC
#
# ASSUMPTIONS APPLIED BY LMR_QAQC
# ----------------------------------
# 1. Raw stage values downloaded from the RiverGages API carry no vertical
#    datum metadata. The USACE does not transmit datum information through
#    the API — it is documented only in the gage datasheet PDFs in GageNotes/.
#    The adjustment records in each per-station archive file are therefore the
#    sole authoritative source of datum change history for that station.
#
# 2. Adjustment factors are in FEET and are ADDITIVE:
#      corrected_stage_ft = raw_stage_ft + factor_ft
#    A negative factor lowers stage (e.g. re-levelling found the gage was
#    reading high); a positive factor raises it.
#
# 3. During training only adjustments whose target_datum contains "NAVD88"
#    are applied, normalising all stations to a common NAVD88 reference.
#    Adjustments targeting other datums (e.g. NGVD29, MSL) are archived
#    here for completeness but are NOT applied.
#
# 4. When adjustment periods from different NAVD88 epochs overlap the same
#    calendar dates, the row with the most recent (highest numeric)
#    target_epoch takes priority. Older epoch rows are skipped for those
#    dates to avoid double-counting.
#
# 5. Rows with no end_date are open-ended: the correction is applied from
#    start_date through the end of the available data record.
#
# 6. Rows where (end_date - start_date) < 2 days are excluded. These are
#    single-entry datum-transition bookkeeping records used by the USACE to
#    mark the instant of a re-levelling, not sustained corrections to the
#    continuous stage time series.
#
# COLUMNS (pipe-delimited; empty end_date = open-ended correction)
# cal_datum|target_datum|factor_ft|start_date|end_date|target_epoch|notes
# ============================================================
NAVD88 (2004.65)|NAVD88|-0.11|2010-08-05T00:00:00|2010-08-06T00:00:00|OTHER|divergence of -0.11 found using BM 1193 B
NGVD29 (1970)|NGVD29|-0.6|1981-01-21T00:00:00||OTHER|Gage Divergence; gage correction to Gage Datum formerly MSL (1971);
GAGE DATUM [formerly NAVD88 (2009.55)]|NAVD88|-0.39|2024-11-22T00:00:00||OPUS|Adjustment of Gage 01440 determined via RTK constrained to primary benchmark 01440 P. Elevation of 01440 P determined via OPUS Shared observation done in Nov 2024. This OPUS observation was done in conjunction with an update of all MVN Mississippi River gages and Primary Control Points (benchmarks) done in late 2024 / early 2025 (EDD-S Job 24-064S). Add the gage adjustment factor to the raw gage reading to determine the NAVD88 value as per OPUS measurement in 2024.
GAGE DATUM [formerly NAVD88 (2009.55)]|NAVD88|-0.12|2018-09-26T00:00:00|2024-11-21T00:00:00|2009.55|gage divergence found determined from PBM 1193B, elevation = 11.98'; gage zero = -0.12' NAVD88 (2009.55)
GAGE DATUM [formerly NAVD88 (2004.65)]|NAVD88|-0.64|2013-10-01T00:00:00|2015-07-01T00:00:00|2009.55|
NAVD88 (2009.55)|NAVD88|0.6|2015-07-01T00:00:00|2018-09-25T00:00:00|2004.65|Adjustment determined from primary benchmark 1193 B.
NAVD88 (2004.65)|NGVD29|0.79|2005-11-29T00:00:00|2005-11-30T00:00:00|1984|Adjustment determined from PBM EMPIRE AZ MK 2
NGVD29 (1984)|NGVD29|0.24|1987-02-24T00:00:00|1988-02-25T00:00:00|1983|gage correction to NGVD29 (1983)
NGVD29 (1983)|NGVD29|-0.54|1984-09-13T00:00:00|1984-09-14T00:00:00|1970|adjustment was determined by level loop using PBM K-195; PBM K-195 = 6.78' NGVD29 (1983), PBM K-195 = 7.32' Gage Datum formerly MSL (1971)
NGVD29 (1970)|NGVD29|1.1|1974-02-02T00:00:00|1974-02-03T00:00:00|1967|correction to Gage Datum MSL (1968) formerly MSL (1960); adjustment determined by level loop using TBM Baham, 8.89' (1971); 9.99' (1968) and (1960)
NGVD29 (1963)|NGVD29|-0.77|1970-12-18T00:00:00|1974-02-01T00:00:00|1967|Gage Divergence; 1968 leveling adjustment to MSL (1960); gage was adjusted by -0.77' from MSL (1960) to MSL (1968)
