# ============================================================
# Datum Adjustment Archive — LMR_QAQC System
# Source PDF  : Mississippi River at Head of Passes Gage Datasheet.pdf
# USACE Code  : 01545
# Generated   : 2026-04-23T01:45:12 UTC
#
# ASSUMPTIONS APPLIED BY LMR_QAQC
# ----------------------------------
# 1. Raw stage values downloaded from the RiverGages API carry no vertical
#    datum metadata. The USACE does not transmit datum information through
#    the API — it is documented only in the gage datasheet PDFs in GageNotes/.
#    The adjustment records in each per-station archive file are therefore the
#    sole authoritative source of datum change history for that station.
#
# 2. Adjustment factors are in FEET and are ADDITIVE:
#      corrected_stage_ft = raw_stage_ft + factor_ft
#    A negative factor lowers stage (e.g. re-levelling found the gage was
#    reading high); a positive factor raises it.
#
# 3. During training only adjustments whose target_datum contains "NAVD88"
#    are applied, normalising all stations to a common NAVD88 reference.
#    Adjustments targeting other datums (e.g. NGVD29, MSL) are archived
#    here for completeness but are NOT applied.
#
# 4. When adjustment periods from different NAVD88 epochs overlap the same
#    calendar dates, the row with the most recent (highest numeric)
#    target_epoch takes priority. Older epoch rows are skipped for those
#    dates to avoid double-counting.
#
# 5. Rows with no end_date are open-ended: the correction is applied from
#    start_date through the end of the available data record.
#
# 6. Rows where (end_date - start_date) < 2 days are excluded. These are
#    single-entry datum-transition bookkeeping records used by the USACE to
#    mark the instant of a re-levelling, not sustained corrections to the
#    continuous stage time series.
#
# COLUMNS (pipe-delimited; empty end_date = open-ended correction)
# cal_datum|target_datum|factor_ft|start_date|end_date|target_epoch|notes
# ============================================================
NAVD88 (2009.55)|MLG|3.03|2020-05-26T00:00:00|||Gage adjustment value is based on 3.5' calibration value to MLLW, as defined by CEPD report dated 7/10/2015. Gage adjustment value is also based on the -0.15' gage divergence as measured on 9/30/2018. This adjustment value is relative to MLLW (2012- 2016).
NAVD88 (2009.55)|MLG|3.17|2018-10-01T00:00:00|2020-05-25T00:00:00||Gage adjustment value is based on 3.5' calibration value to MLLW, as defined by CEPD report dated 7/10/2015. Gage adjustment value is also based on the -0.15' gage divergence as measured on 9/30/2018. This adjustment value is relative to MLLW (2007- 2011).
NAVD88 (2009.55)|MLLW|-0.47|2020-05-26T00:00:00||OTHER|Gage adjustment value is based on MLLW (2012- 2016) defined in EDR-OD-01, Revision 2 dated 5/26/2020. Gage adjustment value is also based on the -0.15' gage divergence as measured on 9/30/2018.
NAVD88 (2009.55)|MLG|3.32|2015-07-10T00:00:00|2018-09-30T00:00:00|OTHER|Adjustment value is based on 3.5' calibration value to MLLW, as defined by CEPD report dated 7/10/2015. This current adjustment is relative to MLLW (2007- 2011).
NAVD88 (2004.65)|NAVD88|0.19|2010-02-27T00:00:00||OTHER|Add 0.19' to gage data to adjust back to NAVD88 2004.65. Surveyed conducted 08/16/2010 using TBM Head B elevation = 13.66'
NAVD88 (2004.65)|NAVD88|0.14|2008-01-15T00:00:00|2010-02-26T00:00:00|OTHER|Add 0.14' to gage date to adjust back to NAVD88 2004.65. Survey conducted 02/26/2010 using TBM Bolt elevation = 4.48'
NGVD29|NGVD29|0.0|1991-05-30T00:00:00|1991-05-31T00:00:00|OTHER|No adjustment needed, previous benchmarks destroyed and unusable. New benchmarks set using the staff as a reference point.
NGVD29|NGVD29|-0.174|1952-10-22T00:00:00|1954-01-15T00:00:00|OTHER|Add -0.174' to gage data to adjust to NGVD29. Gage surveyed and reset using TBM Willow elevation = 5.022'
NGVD29|NGVD29|-0.12|1946-12-12T00:00:00|1952-10-22T00:00:00|OTHER|Add -0.12' to gage data to adjust to NGVD29. Gage surveyed and reset 10/22/1952 using BM Burr 1950 elevation = 7.940'
NAVD88|NGVD29|-0.316|1944-10-02T00:00:00|1946-12-12T00:00:00|OTHER|Add -0.316' to gage data to adjust back to NGVD29. Gage surveyed and reset 12/12/1946 using TBM Willow elevation = 6.404'
NGVD29|NGVD29|-0.1|1943-12-06T00:00:00|1944-10-02T00:00:00|OTHER|Add -0.10' to gage data to adjust to NGVD29. Staff surveyed and set 10/02/1944 using TP HofP elevation = 7.541'.
NAVD88 (2004.65)|NAVD88|-0.217|2008-01-15T00:00:00||OPUS|Add -0.217' to gage data to adjust to NAVD88 OPUS 2021. Survey conducted 07/29/2022 using PBM Pilot ECC OPUS shared solution elevation = 5.031'
NGVD29|NGVD29|-0.43|1972-12-29T00:00:00|1984-01-05T00:00:00|NO EPOCH|Add -0.43' to gage data to adjust to NGVD29
NGVD29|NGVD29|0.06|1964-02-28T00:00:00|1964-07-20T00:00:00|NO EPOCH|Add 0.06' to gage data to adjust to NGVD29. Gage surveyed and set using PBM Mi 0.25 elevation = 5.21'
NGVD29|NGVD29|0.03|1959-10-08T00:00:00|1964-02-27T00:00:00|NO EPOCH|Add 0.03' to gage data to adjust to NGVD29.
NGVD29|NGVD29|-0.21|1959-10-06T00:00:00|1959-10-08T00:00:00|NO EPOCH|Add -0.21' to gage data to adjust to NGVD29. Gage surveyed and reset 10/08/1959 using TP Bolt elevation = 6.80'
NGVD29|NGVD29|-0.28|1956-05-15T00:00:00|1957-12-17T00:00:00|NO EPOCH|Add -0.28' to data to adjust to NGVD29. Surveyed and reset using PBM Wise (1956) elevation = 4.39'
NGVD29|NGVD29|-0.14|1956-05-15T00:00:00|1957-12-12T00:00:00|NO EPOCH|Add -0.14 to gage data to get to NGVD29. Gage surveyed and reset 12/12/1957 using PBM Wise elevation = 4.39'
NAVD88 (2004.65)|NAVD88|-0.018|2018-10-01T00:00:00|2022-07-27T00:00:00|2009.55|Add -0.018' to gage data to adjust to NAVD88 2009.55. RTK Survey conducted 07/27/2022 using PBM Pilot ECC elevation = 5.230'.
NAVD88 (2004.65)|NAVD88|-0.15|2014-08-14T00:00:00|2018-09-30T00:00:00|2009.55|Add -0.15' to gage data to adjust to NAVD88 2009.55. Survey conducted using TMB Head A elevation 2.41'
NAVD88 (2004.65)|NAVD88|-1.06|2013-10-18T00:00:00|2014-08-13T00:00:00|2009.55|Add -1.06' to gage data to adjust to NAVD88 2009.55. Survey conducted using TBM Pal elevation = 2.52'
NAVD88 (2004.65)|NAVD88|-1.12|2008-01-15T00:00:00|2013-10-17T00:00:00|2009.55|Add -1.12' to gage data to adjust to NAVD88 2009.55. Surveyed 10/17/2013 using TBM Head A elevation = 2.528'.
NAVD88 (2009.55)|MLLW|-0.33|2018-10-01T00:00:00|2020-05-25T00:00:00||Gage adjustment value is based on MLLW defined in CEPD report dated 7/10/2015, and is relative to MLLW (2007-2011). Gage adjustment value is also based on the -0.15' gage divergence as measured on 9/30/2018.
NAVD88 (2009.55)|MLLW|-0.18|2015-07-10T00:00:00|2018-09-30T00:00:00||Adjustment value is defined in CEPD report dated 7/10/2015, and is relative to 2007-2011 tidal epoch.
NGVD29|NAVD88|0.0|1994-02-28T00:00:00|2008-01-15T00:00:00|2004.65|Gage surveyed in NAVD88 2004.65 using BM Head 080806 and Gage 0' NGVD29 = 0' NAVD88 2004.65
