Station_Name,USGS_Station_Number,River_Section
St. Louis MO,07010000,Middle Mississippi
Chester IL,07020500,Middle Mississippi
Thebes IL,07022000,Middle Mississippi
Metropolis IL,03611500,Lower Ohio
Cairo IL,03612500,Lower Ohio
Memphis TN,07032000,Lower Mississippi
Vicksburg MS,07289000,Lower Mississippi
Natchez MS,07289500,Lower Mississippi
Baton Rouge LA,07374000,Lower Mississippi
Hermann MO,06934500,Major Tributaries (Missouri)
Little Rock AR,07263450,Major Tributaries (Arkansas)
Clarendon AR,07077000,Major Tributaries (White)
