date,discharge,source_gage,stage,stage_source
1900-01-01,33400,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-02,25800,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-03,28000,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-04,34000,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-05,40600,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-06,47800,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-07,49100,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-08,54400,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-09,55100,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-10,59300,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-11,62400,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-12,60800,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-13,60000,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-14,59300,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-15,59300,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-16,58600,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-17,58600,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-18,61600,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-19,70700,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-20,97000,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-21,104000,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-22,96000,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-23,88000,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-24,84200,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-25,84200,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-26,84200,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-27,82400,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-28,82400,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-29,76100,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-30,68900,"Mississippi River at St. Louis, MO",NaN,NaN
1900-01-31,60800,"Mississippi River at St. Louis, MO",NaN,NaN
1900-02-01,50400,"Mississippi River at St. Louis, MO",NaN,NaN
